time,.data
1969/12/31/19:30:45.843000,EDGE_SE2 1845.843 1845.843 0.006792721464789839 0 -6.057483214595626e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.845000,EDGE_SE2 1845.845 1845.845 0.0007997015611046821 0 -1.450925616872512e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.861000,EDGE_SE2 1845.86 1845.86 0.006007514998804127 0 6.100944649404697e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.866000,EDGE_SE2 1845.863 1845.863 0.001201251132218785 0 -8.460786312186371e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.877000,EDGE_SE2 1845.874 1845.874 0.00439243354293875 0 -1.0890951103569916e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.885000,EDGE_SE2 1845.883 1845.883 0.003601408255643296 0 -4.402082593425732e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.894000,EDGE_SE2 1845.892 1845.892 0.003595005270464694 0 -5.282996125084906e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.901000,EDGE_SE2 1845.901 1845.901 0.0036013109073582987 0 4.0628987072995246e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.921000,EDGE_SE2 1845.921 1845.921 0.0080031625559254 0 6.721447388606739e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.923000,EDGE_SE2 1845.922 1845.922 0.0003999497964948118 0 7.88182430369966e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.937000,EDGE_SE2 1845.932 1845.932 0.004003187233858829 0 -9.95322797367519e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.948000,EDGE_SE2 1845.943 1845.943 0.004400261430435431 0 -2.2857322675549064e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.961000,EDGE_SE2 1845.954 1845.954 0.004390405099260367 0 1.0187038303540675e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.970000,EDGE_SE2 1845.965 1845.965 0.004385573629512217 0 4.108563971395755e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.976000,EDGE_SE2 1845.973 1845.973 0.003208059829117883 0 7.733122056201767e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.985000,EDGE_SE2 1845.983 1845.983 0.003994519908902461 0 5.978794474683818e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:45.997000,EDGE_SE2 1845.994 1845.994 0.004397203639805413 0 7.416396747538627e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.015000,EDGE_SE2 1846.012 1846.012 0.00718424405131967 0 -1.5001171579702405e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.021000,EDGE_SE2 1846.019 1846.019 0.002804505021309324 0 2.4119247253310717e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.024000,EDGE_SE2 1846.023 1846.023 0.001598979077760596 0 -2.272540835755419e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.037000,EDGE_SE2 1846.035 1846.035 0.004798699955708307 0 6.177247310487615e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.046000,EDGE_SE2 1846.042 1846.042 0.002804823076581287 0 -6.369272340882298e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.058000,EDGE_SE2 1846.056 1846.056 0.005588154996997451 0 -1.3053002637211704e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.073000,EDGE_SE2 1846.068 1846.068 0.004799875508067281 0 5.488722519179078e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.080000,EDGE_SE2 1846.078 1846.078 0.004001303279843951 0 6.210293644828996e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.086000,EDGE_SE2 1846.084 1846.084 0.0023970183934158324 0 3.565192781120981e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.099000,EDGE_SE2 1846.096 1846.096 0.004803626911067692 0 -1.2009715724952798e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.105000,EDGE_SE2 1846.103 1846.103 0.002801541503028403 0 -2.2099163747980928e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.128000,EDGE_SE2 1846.124 1846.124 0.008394032398792205 0 -8.99760928674165e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.132000,EDGE_SE2 1846.128 1846.128 0.0015993005261847222 0 3.501682391576004e-08 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.135000,EDGE_SE2 1846.132 1846.132 0.0016029868267292428 0 -2.2222078961990107e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.148000,EDGE_SE2 1846.146 1846.146 0.00559780960363023 0 -3.274490886436113e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.164000,EDGE_SE2 1846.153 1846.153 0.002801498240017876 0 4.300339087743517e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.168000,EDGE_SE2 1846.164 1846.164 0.004396080715904702 0 -6.8291910814167156e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.178000,EDGE_SE2 1846.176 1846.176 0.004806644491106069 0 -2.876112784485569e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.186000,EDGE_SE2 1846.183 1846.183 0.0028123505534015875 0 2.2768111019204566e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.197000,EDGE_SE2 1846.195 1846.195 0.004791461043395537 0 -1.2235485479849878e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.204000,EDGE_SE2 1846.203 1846.203 0.003201534258131446 0 -1.193561621648034e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.223000,EDGE_SE2 1846.219 1846.219 0.00640913748656876 0 2.1993340987951544e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.239000,EDGE_SE2 1846.236 1846.236 0.00679558111091444 0 4.049447425477464e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.244000,EDGE_SE2 1846.242 1846.242 0.0023997378084120668 0 -1.6246175886712191e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.250000,EDGE_SE2 1846.245 1846.245 0.0012014089799569513 0 -1.1169961015990565e-07 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.262000,EDGE_SE2 1846.254 1846.254 0.0036044067548067155 0 -1.647510361438485e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.266000,EDGE_SE2 1846.266 1846.266 0.004800848673133172 0 7.507237669726247e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.285000,EDGE_SE2 1846.282 1846.282 0.006392743496298375 0 2.5634670911501992e-05 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.288000,EDGE_SE2 1846.286 1846.286 0.0015976200069547732 0 -2.197292205067234e-06 0.03 0.0 0.0 0.03 0.0 0.01
1969/12/31/19:30:46.296000,EDGE_SE2 1846.292 1846.292 0.0024048459830522326 0 2.396446987795723e-06 0.03 0.0 0.0 0.03 0.0 0.01
